cod_produtor,cod_regional,log_ativo_x,estrutura_fat,cdn_repres_x,estrutura_area,vlr_realizado_fat,safra,vlr_potencial_rec,vlr_potencial_fat,vlr_realizado_rec,perc_area_prop,perc_faturamento,perc_recebimento,area_cult_prop,area_cult_tot,grupo_produtor,estrutura_rec,area_com_mat,estrutura_geral,vlr_realizado_geral_rec,vlr_potencial_geral_rec,vlr_preco_medio_sc,perc_geral,data_atu,usuario_atu,hora_atu,estrutura_margem,Unnamed: 0,cod_empresa,num_aval1,num_aval2,cod_estabel,dt_inscricao,descendencia,l_cpf,l_rg,l_foto,l_formulario,l_declaracao,l_procuracao,estrutura,sexo,Bloqueado,log_desc_contratos,log_ativo_y,mot_ativo,cdn_repres_y,ult_usuario,dat_usuario,usu-alteracao,hora-alteracao,log_emite_receita,ind-referencia,ind-cheque,ind-protesto,ind-forum,ind-safras-ant,ind-observacao,origem,empresa_fisco,log_envia_palm,dt-serasa,nome-emit,cpf,nome-abrev,cdn_grupo_cliente,tipo_produtor,tipo_retencao_inss,safra_crm,log_crm,dat_emis_id_estad,dt_implant_ini,cliente_novo,dt_ult_movto,safra_ult_movto,situacao,cliente_foco,log_ativo_pa,log_cliente_pet,cod_rep_secundario,apl_classif_produtor,apl_optou_declaracao,apl_dt_valid_classif,log_coop_imovel_proprio,apl_impr_assinada,dt_demissao,log_int_camposdealer,cod_transp,nome_transp,log_participante_bayer,log_produtor_dap,log_cooperativa,dt_validade_dap
507030,1,1,E,28000,,1320.0,2019/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654223,E,0.0,XX,0.0,0.0,0.0,0.0,2020-09-11,01-cleucia,15:39:05,,64100,1,0,0,1,2019-05-29,,True,True,True,True,True,True,Mini,1,False,False,True,,28000,,(null),01-hugo,30/05/19 - 10:29,True,BO,False,False,False,False,,D,E,False,(null),Dr. Rafael Mendes,18334656118,Kaique Aragão,654223,,0,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019",True,(null),2009-04-06,False,2019-05-30,2019/2019,Ativo,False,False,False,0,,False,(null),True,False,(null),True,49436,Ana Carolina Gonçalves,True,False,False,(null)
509035,1,1,E,15000,,2200.0,2019/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654230,E,0.0,XX,0.0,0.0,0.0,0.0,2020-09-11,01-cleucia,15:39:05,,65731,1,0,0,1,(null),,True,True,True,True,True,True,Nenhum,1,False,False,True,,15000,,(null),16-nivaldo,16:14:01,True,BO,False,False,False,False,,D,E,False,(null),Yago Correia,19011954421,Rafael Barros,654230,,1,"2009/2010,2010/2010,2016/2016,2016/2017,2015/2016,2015/2015,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2021,2020,2022,2019,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025,2025/2026,2026/2026,2026/2027,2027/2027",True,(null),2010-01-13,False,2019-05-29,2019/2019,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,8758,Mariane Moreira,False,False,False,(null)
525087,1,1,E,31000,,28600.0,2016/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525087,E,0.0,,0.0,0.0,0.0,0.0,,,,,78651,1,0,0,1,2016-04-14,,True,True,True,True,True,True,Nenhum,1,False,False,True,,31000,,(null),01-valdinei,16:00:06,False,SI,False,False,False,False,,D,E,False,(null),Isis Viana,32593916919,Isabelly Freitas,525087,,0,2016/2016,True,(null),2016-04-14,False,2018-10-01,2018/2019,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,42649,Fernanda Vieira,False,False,False,(null)
525688,1,1,E,31000,,31050.0,2016/2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525688,E,0.0,,0.0,0.0,0.0,0.0,,,,,79178,1,0,0,1,2016-06-09,,True,True,True,True,True,True,Nenhum,1,False,False,True,,31000,,(null),01-valdinei,14:22:34,False,SI,False,False,False,False,,D,N,False,(null),Henrique Ramos,63777667138,Sabrina Campos,525688,,1,"2016/2017,2016/2016,2015/2016",True,(null),2016-06-09,False,2016-06-13,2016/2016,Inativo,False,False,False,0,1.0,True,9999-12-31,True,False,(null),True,0,Ana Sophia Lopes,False,False,False,(null)
534639,1,1,E,1000,,265916.0,2018/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534639,E,0.0,,0.0,0.0,0.0,0.0,,,,,86936,1,0,0,1,2018-09-10,,True,True,True,True,True,True,Nenhum,1,False,True,True,,1000,,(null),01-raimi,10:03:13,True,SI,False,False,False,False,,D,E,False,(null),Luana Gomes,17671387147,Sr. João Felipe Dias,536114,,0,"2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018",True,2018-09-10,2018-09-10,False,2019-11-06,2019/2020,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,42437,João Felipe Alves,False,False,False,(null)
534639,1,1,E,1000,,13060.55,2019/2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534639,E,0.0,XX,0.0,0.0,0.0,0.0,2020-09-10,01-cleucia,09:05:46,,86936,1,0,0,1,2018-09-10,,True,True,True,True,True,True,Nenhum,1,False,True,True,,1000,,(null),01-raimi,10:03:13,True,SI,False,False,False,False,,D,E,False,(null),Luana Gomes,17671387147,Sr. João Felipe Dias,536114,,0,"2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018",True,2018-09-10,2018-09-10,False,2019-11-06,2019/2020,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,42437,João Felipe Alves,False,False,False,(null)
534810,1,1,E,1000,,175364.0,2018/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534810,E,0.0,,0.0,0.0,0.0,0.0,,,,,87075,1,0,0,1,2018-09-27,,True,True,True,True,True,True,Nenhum,1,False,True,True,,1000,,(null),01-raimi,11:46:36,True,SI,False,False,False,False,,D,E,False,(null),Matheus Araújo,38493020279,Lucas Gabriel Cardoso,534810,,0,"2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018",True,2018-09-27,2018-09-27,False,2020-10-01,2020/2021,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,42619,Noah Mendes,False,False,False,(null)
534811,1,1,E,1000,,148144.0,2018/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534811,E,0.0,,0.0,0.0,0.0,0.0,,,,,87076,1,0,0,1,2018-09-06,,True,True,True,True,True,True,Nenhum,1,False,True,True,,1000,,(null),01-raimi,16:17:59,True,SI,False,False,False,False,,D,E,False,(null),Gabriel Lima,33350929109,Rodrigo da Cunha,534811,,0,"2020/2020,2019/2020,2019/2019,2018/2019,2018/2018",True,2018-09-06,2018-09-06,False,2018-09-10,2018/2019,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,42400,Eloah Pires,False,False,False,(null)
534812,1,1,E,1000,,1007040.0,2018/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534812,E,0.0,,0.0,0.0,0.0,0.0,,,,,87077,1,0,0,1,2018-08-23,,True,True,True,True,True,True,Nenhum,1,False,True,True,,1000,,(null),01-raimi,09:34:10,True,SI,False,False,False,False,,D,E,False,(null),Dra. Brenda Ribeiro,17513124108,Noah Lopes,534812,,0,"2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018",True,2018-08-23,2018-09-03,False,2018-10-09,2018/2019,Ativo,False,False,False,0,0.0,False,(null),False,False,(null),True,42826,Nicole Melo,False,False,False,(null)
535467,1,1,E,1000,,87360.0,2018/2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535467,E,0.0,,0.0,0.0,0.0,0.0,,,,,87618,1,0,0,1,2018-10-04,,True,True,True,True,True,True,Nenhum,1,False,False,True,,1000,,(null),01-raimi,18:11:22,True,SI,False,False,False,False,,D,E,False,(null),Enzo Costela,73842650955,Nathan da Cruz,535467,,0,"2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018",True,2018-10-04,2018-10-04,False,2018-10-05,2018/2019,Ativo,False,False,False,0,0.0,False,(null),True,False,(null),True,61718,Heloísa Azevedo,False,False,False,(null)
